longitude,latitude,floor,buildingid,spaceid,relativeposition,userid,phoneid,timestamp,validation
-7541.264299999922,4864920.7782000005,2,1,106,2,2,23,1371713733,0
-7536.6211999990055,4864934.2251999965,2,1,106,2,2,23,1371713691,0
-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371714095,0
-7524.570399999618,4864934.093000002,2,1,102,2,2,23,1371713807,0
-7632.143599998206,4864982.217100002,0,0,122,2,11,13,1369909710,0
-7533.896200001241,4864939.258299999,2,1,105,2,2,23,1371713841,0
-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371713883,0
-7527.451099999249,4864929.146399997,2,1,101,2,2,23,1371713775,0
-7559.497299998999,4864887.650399998,2,1,112,2,2,23,1371714307,0
-7510.437173217535,4864949.2514167065,2,1,103,1,2,23,1371714128,0
-7528.816401548684,4864959.430612221,2,1,104,1,2,23,1371714200,0
-7523.628199998288,4864951.958300002,2,1,104,2,2,23,1371714166,0
-7571.093400001526,4864871.7184000015,2,1,110,2,2,23,1371714393,0
-7559.78200000152,4864871.373499997,2,1,108,2,2,23,1371714467,0
-7562.186200000346,4864866.785099998,2,1,109,2,2,23,1371714433,0
-7564.196299999952,4864887.1932,2,1,111,2,2,23,1371714355,0
-7555.132300000639,4864885.251500003,2,1,107,2,2,23,1371714509,0
-7520.724500000478,4864892.4384,2,1,15,2,2,23,1371714730,0
-7521.867186445744,4864889.477093995,2,1,29,1,2,23,1371714802,0
-7537.339899998158,4864895.785400003,2,1,117,2,2,23,1371714556,0
-7526.710926756264,4864892.801808476,2,1,15,1,2,23,1371714772,0
-7516.088799998164,4864889.878200002,2,1,16,2,2,23,1371714919,0
-7512.604163631797,4864884.949543999,2,1,16,1,2,23,1371714946,0
-7520.755800001323,4864891.4821000025,2,1,29,2,2,23,1371714879,0
-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714847,0
-7502.449700001627,4864884.176100002,2,1,22,2,2,23,1371714992,0
-7489.177499998361,4864899.944899999,2,1,10,2,2,23,1371715041,0
-7482.4561760276565,4864901.429579936,2,1,10,1,2,23,1371715082,0
-7491.030633945018,4864865.38593483,2,1,2,1,2,23,1371715259,0
-7501.221900001168,4864863.072899997,2,1,2,2,2,23,1371715227,0
-7480.124099999665,4864894.9306000015,2,1,10,2,2,23,1371715133,0
-7506.731899999082,4864850.683999999,2,1,4,2,2,23,1371715373,0
-7502.826900001615,4864860.174599998,2,1,3,2,2,23,1371715304,0
-7511.736699998379,4864841.647200003,2,1,5,2,2,23,1371715416,0
-7516.474500000478,4864844.597199999,2,1,6,2,2,23,1371715451,0
-7504.881400000304,4864865.5295,2,1,9,2,2,23,1371715559,0
-7474.652600001544,4864865.9525000015,2,1,27,2,2,23,1371715774,0
-7506.529300000519,4864862.554300003,2,1,8,2,2,23,1371715528,0
-7511.5214999988675,4864853.5402000025,2,1,7,2,2,23,1371715490,0
-7470.518699999899,4864863.662799999,2,1,26,2,2,23,1371715835,0
-7469.7391000017515,4864864.291500002,2,1,18,2,2,23,1371715871,0
-7457.242100000381,4864853.930299997,2,1,216,2,2,23,1371716120,0
-7480.431491758674,4864867.1309280535,2,1,17,1,2,23,1371715972,0
-7474.582499999553,4864866.872299999,2,1,17,2,2,23,1371715940,0
-7466.291100092231,4864859.3389488915,2,1,18,1,2,23,1371715902,0
-7458.26419999823,4864852.0842999965,2,1,217,2,2,23,1371716152,0
-7331.747999999671,4864767.318000004,3,2,247,2,2,23,1371716690,0
-7331.400499999522,4864768.478600003,3,2,248,2,2,23,1371716637,0
-7461.524049259721,4864852.0464766035,2,1,217,1,2,23,1371716209,0
-7327.492165092379,4864766.668530561,3,2,247,1,2,23,1371716719,0
-7336.700399998575,4864764.478799999,3,2,246,2,2,23,1371716762,0
-7337.394799999893,4864763.226999998,3,2,245,2,2,23,1371716797,0
-7340.524599999189,4864757.585900001,3,2,244,2,2,23,1371716826,0
-7341.214999999851,4864756.341499999,3,2,243,2,2,23,1371716857,0
-7339.1538871750245,4864749.384690456,3,2,242,1,2,23,1371716935,0
-7337.23213905096,4864752.848840348,3,2,243,1,2,23,1371716982,0
-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717041,0
-7344.211399998516,4864750.939999999,3,2,242,2,2,23,1371716896,0
-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717071,0
-7347.108300000428,4864748.045599997,3,2,240,2,2,23,1371717264,0
-7407.379599999636,4864799.6941,3,2,201,2,2,23,1371717408,0
-7408.288427382708,4864803.464716807,3,2,201,1,2,23,1371717473,0
-7410.328999999911,4864800.005599998,3,2,202,2,2,23,1371717506,0
-7408.288427382708,4864803.464716807,3,2,201,1,2,23,1371717560,0
-7413.154800001532,4864789.236699998,3,2,204,2,2,23,1371720043,0
-7411.2507000006735,4864792.7678999975,3,2,203,2,2,23,1371720009,0
-7413.955299999566,4864787.794299996,3,2,205,2,2,23,1371720080,0
-7405.100900001824,4864789.7755,3,2,207,2,2,23,1371720152,0
-7413.921399999409,4864785.033399999,3,2,206,2,2,23,1371720112,0
-7403.73600000143,4864789.018399999,3,2,209,2,2,23,1371720219,0
-7398.11080000177,4864785.8972999975,3,2,211,2,2,23,1371720293,0
-7406.063099998981,4864788.219300002,3,2,208,2,2,23,1371720184,0
-7404.705499999225,4864787.466200002,3,2,210,2,2,23,1371720254,0
-7399.109700001776,4864784.361699998,3,2,212,2,2,23,1371720323,0
-7398.5587060302505,4864779.87839587,3,2,214,1,2,23,1371720456,0
-7397.859799999744,4864783.668200001,3,2,214,2,2,23,1371720385,0
-7396.896099999547,4864785.223499998,3,2,213,2,2,23,1371720355,0
-7415.163003530352,4864796.084482223,3,2,203,1,2,23,1371720511,0
-7395.100707694888,4864777.95992858,3,2,216,1,2,23,1371720724,0
-7392.357000000775,4864780.615599996,3,2,216,2,2,23,1371720665,0
-7390.095800001174,4864781.450599998,3,2,217,2,2,23,1371720769,0
-7391.35909999907,4864782.1516999975,3,2,215,2,2,23,1371720589,0
-7390.649026967585,4864785.979925662,3,2,215,1,2,23,1371720627,0
-7366.751436967404,4864837.214649305,2,2,121,1,11,13,1371724142,0
-7384.393399998547,4864778.2870000005,3,2,219,2,2,23,1371720832,0
-7383.265599999577,4864777.661399998,3,2,221,2,2,23,1371720896,0
-7384.211300000548,4864776.0964,3,2,222,2,2,23,1371720926,0
-7391.084499999882,4864779.909699999,3,2,218,2,2,23,1371720798,0
-7385.372800000012,4864776.740699999,3,2,220,2,2,23,1371720864,0
-7377.651299998164,4864772.941299997,3,2,250,2,2,23,1371721052,0
-7376.4010000005355,4864773.852899998,3,2,223,2,2,23,1371720964,0
-7374.294482905418,4864777.897182643,3,2,223,1,2,23,1371721005,0
-7369.632300000639,4864770.0979999965,3,2,225,2,2,23,1371721086,0
-7370.614700000732,4864768.552900001,3,2,224,2,2,23,1371721123,0
-7363.03830000013,4864766.439499997,3,2,229,2,2,23,1371721284,0
-7369.414400000124,4864767.887100004,3,2,226,2,2,23,1371721161,0
-7368.386100001633,4864769.406199999,3,2,227,2,2,23,1371721218,0
-7363.996100001038,4864764.880800001,3,2,228,2,2,23,1371721251,0
-7356.0102000012985,4864762.5402000025,3,2,233,2,2,23,1371721462,0
-7361.5406999997795,4864765.608599998,3,2,231,2,2,23,1371721401,0
